Primary Amines	[NX3;H2;!$(NC=[!#6]);!$(NC#[!#6])][#6]
Phenolic Hydroxyls	[OH]c1ccccc1
Catechols	[OX2H]c1ccccc1[OX2H]
Carbonyls	[CX3](=[OX1])C
Aldehydes	[CX3H1](=O)[#6]
Carboxylic Acids	[CX3](=O)[OX2H1]
Triols	[#6](-[#8])-[#6](-[#8])-[#6](-[#8])
Diols	[#6](-[#8])-[#6](-[#8])
Hydroxyls	[#6](-[#8])
